id	kanji	kana	meaning	japanese	korean	english	flags
JLPT-한끝-N2-0001	あいさつ	あいさつ	인사	隣に住んでるのに、彼は私たちにあいさつさえしない。	옆에 살지만 그는 우리에게 인사조차 하지 않는다.	Though living next door, he doesn't even say hello to us.	
JLPT-한끝-N2-0032	甘やかす	あまやかす	응석을 받아주다	あの子を甘やかしてはいけません。とてもわがままになりますよ。	그 아이의 응석을 받아 줘서는 안 됩니다. 아주 제멋대로인 아이가 될 거예요.	You shouldn't indulge that child. It will make him very selfish.	
JLPT-한끝-N2-0063	維持	いじ	유지	しかし、抗議を通して始めて自由で開かれた社会が維持されるのである。	그러나 항의를 통해 비로소 자유롭고 열린 사회가 유지되는 것이다.	Only through protest can a free and open society be maintained.	
JLPT-한끝-N2-0094	医療	いりょう	의료	改良された医療技術は、宇宙開発計画の副産物として派生したものの一つである。	개량된 의료기술은 우주개발 계획의 부산물로 파생된 것 중 하나다.	Improved medical technology has been one of the spin-offs of the space program.	
JLPT-한끝-N2-0125	エネルギー	エネルギー	에너지	私たちはレストランに入り、夕食をとりながらエネルギー危機について論じた。	우리는 레스토랑에 들어가 저녁 식사를 하면서 에너지 위기에 대해 논했다.	We entered a restaurant, and discussed the energy crisis over our dinner.	
JLPT-한끝-N2-0156	納める	おさめる	넣다, 납입하다	私たちは税金を納めなければならない。	우리는 세금을 내야 한다.	We must pay the tax.	
JLPT-한끝-N2-0187	解散	かいさん	해산	私たちが着く頃には、その会は解散しているだろう。	우리가 도착할 때쯤이면 그 모임은 해산하고 있을 것이다.	The meeting will have broken up by the time we arrive.	
JLPT-한끝-N2-0218	肩	かた	어깨	見知らぬ人が後ろから私の肩をたたいた。誰か他の人と間違えたに違いない。	낯선 사람이 뒤에서 내 어깨를 두드렸어. 누군가 다른 사람과 착각한 게 틀림없어.	A stranger tapped me on the shoulder from behind. He took me for some other person, I'm sure.	
JLPT-한끝-N2-0249	乾燥	かんそう	건조	樹木から水の供給がなければ、降雨量はやがて減少し、その地域は乾燥し続ける。	수목에서 물의 공급이 없으면 강우량이 머지않아 감소하고, 그 지역은 계속 건조해진다.	With no supply of water from trees, rainfalls diminish in time and the area keeps drying up.	
JLPT-한끝-N2-0280	記入	きにゅう	기입	内容が件名で判断出来ますので、記入をお願い致します。	내용이 제목으로 판단되니 작성 부탁드립니다.	I use the subject line to determine the contents so please fill it in.	
JLPT-한끝-N2-0311	議論	ぎろん	논의, 논쟁	このことから、大規模な人口移動は経済変化の結果ではないという議論を導くことができる。	이런 점에서 대규모 인구 이동은 경제 변화의 결과가 아니라는 논의를 이끌 수 있다.	From this we can derive the argument that major population shifts are not the result of economic change.	
JLPT-한끝-N2-0342	継続	けいぞく	계속	教育は若い時代に限られてはならず、われわれの全生涯を通じて継続して行われるものでなければならない。	교육은 젊은 시절에 국한돼서는 안 되며 우리의 전 생애를 통틀어 계속 이뤄져야 한다.	Education must not be limited to our youth but must be a continuing process through our entire lives.	
JLPT-한끝-N2-0373	強引	ごういん	억지로 함	歯を食い縛る、喉元までせりあがった感情を強引に飲み込む。	이를 악무는 목구멍까지 차오른 감정을 억지로 삼킨다.	He gritted his teeth; forced back his growing fear.	
JLPT-한끝-N2-0404	心強い	こころづよい	마음 든든하다	僕には警察よりも何よりもみんながいてくれることの方が心強いのですよ。	저에게는 경찰보다 무엇보다도 모두가 있어 주는 것이 더 든든한 거예요.	For my part, having you lot with me is more reassuring than the police or anything!	
JLPT-한끝-N2-0435	最有力	さいゆうりょく	가장 유력함	コカ・コーラは清涼飲料水ではいつも最有力会社だ。	코카콜라는 청량음료 업계에서 늘 가장 유력한 회사다.	Coke has always been the top dog when it comes to soft drinks.	
JLPT-한끝-N2-0466	差別	さべつ	차별	最初に議論すべき点は、この地域に差別が存在したかどうかということである。	가장 먼저 논의해야 할 점은 이 지역에 차별이 존재했는가 하는 것이다.	The first point to be discussed is whether segregation existed in this district.	
JLPT-한끝-N2-0497	質素	しっそ	검소함	彼は金持ちにもかかわらず、質素な生活をしている。	그는 부자임에도 불구하고 검소한 생활을 하고 있다.	For all his wealth, he lives a simple life.	
JLPT-한끝-N2-0528	集中力	しゅうちゅうりょく	집중력	テレビからの小さい音でさえ、私の集中力を妨げる。	TV에서 나오는 작은 소리조차도 내 집중력을 방해한다.	Even a small sound from the TV interferes with my concentration.	
JLPT-한끝-N2-0559	招待	しょうたい	초대	きっと彼は私たちの招待に応じてくれると思います。	분명 그는 우리의 초대에 응할 거라고 생각해요.	I am sure of his will accepting our invitation.	
JLPT-한끝-N2-0590	真剣	しんけん	진지함	スケートが上手になりたいのなら、真剣に習い始めるべきだ。	스케이트를 잘 타고 싶다면 진지하게 배우기 시작해야 한다.	If you want to skate well, you should take it up seriously.	
JLPT-한끝-N2-0621	座る	すわる	앉다	英語の授業では、時々輪になって座り、読んでいる本について話し合いをすることもあります。	영어 수업에서는 종종 빙 둘러 앉아 읽고 있는 책에 대해 이야기를 나누기도 합니다.	In the English class sometimes we sit in a circle to talk about a book we are reading.	
JLPT-한끝-N2-0652	責める	せめる	탓하다, 꾸짖다	一方では君は間違っている。かといって、私はそのことであなたを責めることはできない。	한편으로 보면 네가 틀렸지만, 그렇다고 그 일로 너를 탓할 수는 없다.	On the one hand, you are wrong, but on the other hand, I can't blame you for that.	
JLPT-한끝-N2-0683	備える	そなえる	준비하다, 대비하다	人間も極度に寒い温度に対しては、防御装置を備えている。	인간도 극도로 추운 온도에 대해서는 방어 장치를 갖추고 있다.	Man, too, has been given protective devices against extreme temperatures.	
JLPT-한끝-N2-0714	たっぷり	たっぷり	듬뿍	駅からその学校まで、たっぷり５キロはありました。	역에서 그 학교까지 넉넉히 5킬로미터는 있었어요.	It was a good five kilometers from the station to the school.	
JLPT-한끝-N2-0745	駐車場	ちゅうしゃじょう	주차장	市街地には駐車場がほとんどなく、深刻な問題になっている。	시가지에는 주차장이 거의 없어 심각한 문제가 되고 있다.	There are few places downtown for parking, which is a serious problem.	
JLPT-한끝-N2-0776	努める	つとめる	노력하다	しかし人々は政府に対して５年間の兵役を努めなければならなかった。	그러나 사람들은 정부를 위해 5년간 군 복무를 해야 했다.	But every man had to give five years of service to the government.	
JLPT-한끝-N2-0807	問い合わせる	といあわせる	문의하다	ミーティングやスケジュールなどの詳細については、直接、私にお問い合わせ下さい。	미팅이나 일정 등의 자세한 내용은 직접 저에게 문의해 주시기 바랍니다.	Please feel free to contact me for details about the meeting or the schedule.	
JLPT-한끝-N2-0838	努力	どりょく	노력	余計な努力の結果、彼の血圧を通常以上に上がった。	불필요하게 애쓴 결과, 그의 혈압이 평소보다 높아졌다.	The extra effort raised his blood pressure above normal.	
JLPT-한끝-N2-0869	盗む	ぬすむ	훔치다	彼がその辞書を盗んだに違いない、とふと私はおもった。	그가 그 사전을 훔친 게 틀림없어, 라고 문득 나는 생각했다.	It occurred to me that he must have stolen the dictionary.	
JLPT-한끝-N2-0900	発射	はっしゃ	발사	マリナー９号は、１９７１年５月３０日に発射された。	마리너 9호는 1971년 5월 30일에 발사되었다.	Mariner 9 was launched on May 30, 1971.	
JLPT-한끝-N2-0931	ビジネスマン風	ビジネスマンふう	비즈니스맨풍	会場にはビジネスマン風の参加者が多く見られた。	행사장에는 비즈니스맨처럼 보이는 참가자가 많이 보였다.		
JLPT-한끝-N2-0962	含む	ふくむ	포함하다	基本計画には、レクリエーションだけでなく職を供給する計画も含まれている。	기본 계획에는 레크리에이션뿐만 아니라 일자리를 공급하는 계획도 포함되어 있다.	The master plan includes programs to provide employment as well as recreation.	
JLPT-한끝-N2-0993	減る	へる	줄다	日本の海外援助は、１つには国内の経済の減速によって減りつつある。	일본의 해외 원조는 한 가지로는 국내 경제의 둔화로 인해 줄어들고 있다.	Japan's foreign aid is decreasing in part because of an economic slowdown at home.	
JLPT-한끝-N2-1024	真新しい	まあたらしい	아주 새롭다	駅前に建った真新しい図書館は、地域交流の拠点として期待されている。	역 앞에 들어선 새로운 도서관은 지역 교류의 거점으로 기대되고 있다.		
JLPT-한끝-N2-1055	見逃す	みのがす	놓치다	ぼんやり運転していたら、入っていく道を見逃すよ。	멍하니 운전하다 보면 들어가는 길을 놓칠 거야.	If you drive carelessly, you will miss your turn.	
JLPT-한끝-N2-1086	持つ	もつ	가지다	この（英語で）４語はたくさんの複雑な情報を伝えるばかりでなく、諺の持つ説得力もあるのである。	이 네 단어는 많은 복잡한 정보를 전달할 뿐만 아니라 속담들이 가진 설득력도 있는 것이다.	Those four words carried not only a lot of complex information, but also the persuasive force of a proverb.	
JLPT-한끝-N2-1117	豊か	ゆたか	풍요로움	日本文学は、その美しさと豊かさにもかかわらず、西欧ではまだ不十分にしか知られていない。	일본문학은 그 아름다움과 풍요로움에도 불구하고 서구에서는 아직 미흡하게만 알려져 있다.	Japanese literature, in spite of its beauty and riches, is as yet inadequately known in the West.	
JLPT-한끝-N2-1148	例外	れいがい	예외	例外は中国で、おそらく平らなパンは食されていなかった。	예외는 중국으로, 그곳에서는 아마 납작한 빵을 먹지 않았을 것이다.	The exception was in China, where flat bread was probably not eaten.	
JLPT-한끝-N3-010	温める	あたためる	따뜻하게 하다, 데우다	お粥も作ってきました。チンして温めるだけですから。	죽도 만들어 왔습니다. 전자레인지에 데우기만 하면 됩니다.	I also brought some gruel I made.  It just needs warming up.	
JLPT-한끝-N3-041	内側	うちがわ	안쪽	ドアは内側から鍵がかかったままだったので、彼はその家に入れなかった。	문은 안쪽에서부터 자물쇠가 채워져 있었기 때문에 그는 그 집에 들어갈 수 없었다.	The door remaining locked up from inside, he could not enter the house.	
JLPT-한끝-N3-072	お互いに	おたがいに	서로	彼らは、貴社とお互いに利益となる事柄について話し合うことを望んでいます。	그들은 귀사와 서로 이익이 되는 사항에 대해 논의하기를 원합니다.	They want to talk to you about areas of mutual interest.	
JLPT-한끝-N3-103	固い	かたい	단단하다	クモの巣を作るには、このきぬの枠を作り、それを木や垣根のような固い物体に固定させることから始める。	거미는 거미줄을 만들 때 먼저 실로 틀을 짜고, 그것을 나무나 울타리 같은 단단한 물체에 고정한다.	To make a web, it starts by making a frame of this silk and fastening it to hard objects, such as trees or fences.	
JLPT-한끝-N3-134	傷	きず	상처, 흠	クリスはとてもむなしく思い、立ち直れないほどに、心に大きな傷を受けました。	크리스는 너무 허무하게 느껴져서 다시 일어날 수 없을 정도로 마음에 큰 상처를 받았어요.	Chris' heart felt so empty and damaged that it couldn't be repaired.	
JLPT-한끝-N3-165	苦しい	くるしい	괴롭다, 힘겹다	私が日本に滞在したのはほんの数ヶ月だが、その間に次から次へと苦しい目にあった。	내가 일본에 체류한 것은 불과 몇 달이었지만, 그동안 잇달아 힘든 일을 겪었다.	I stayed in Japan only a few months, during which time I went through a series if hardships.	
JLPT-한끝-N3-196	広告	こうこく	광고	われわれの広告に対してたくさんの申し込みがあった。	우리의 광고에 대해 많은 신청이 있었다.	We've received a lot of applications in answer to our advertisements.	
JLPT-한끝-N3-227	親しい	したしい	친하다	また、親しい間柄であることから、暴力の被害を受けやすく、その被害を訴えにくいという実態がある。	또한 친한 사이인 관계로 폭력의 피해를 당하기 쉽고, 그 피해를 호소하기 어렵다는 실정이 있다.	Also as they are in a intimate relationship they are in a situation where it is easy for them to suffer from violence and difficult to for them to bring complaints about that to court.	
JLPT-한끝-N3-258	種類	しゅるい	종류	結局のところ、人間が異なれば、彼らが伝統的に食べてきた食べ物の種類によって、食べ方も異なるということだ。	결국 인간이 다르면 그들이 전통적으로 먹어오던 음식의 종류에 따라 먹는 방법도 다르다는 것이다.	After all, different people have different ways of eating, according to the kind of food which they have traditionally eaten.	
JLPT-한끝-N3-289	全〜	ぜん〜	전〜	教育は若い時代に限られてはならず、われわれの全生涯を通じて継続して行われるものでなければならない。	교육은 젊은 시절에 국한돼서는 안 되며 우리의 전 생애를 통틀어 계속 이뤄져야 한다.	Education must not be limited to our youth but must be a continuing process through our entire lives.	
JLPT-한끝-N3-320	チャレンジ	チャレンジ	도전	今度の新人は、チャレンジ精神旺盛でいいね。	이번 신인은 도전정신 왕성해서 좋네.	I like the new guy. He's not afraid to take on challenging work.	
JLPT-한끝-N3-351	動作	どうさ	동작	壊れたラジオを修理していて、回路の動作原理を理解できていないことに改めて気がつきます。	고장 난 라디오를 수리하다가 회로의 작동 원리를 이해하지 못하고 있다는 사실을 새삼 깨달았다.	Repairing a broken radio I realise over again that I don't have an understanding of the operating principles of circuitry.	
JLPT-한끝-N3-382	願う	ねがう	바라다	この議事録に関して、訂正、追加がありましたらお願いします。	이 회의록에 정정하거나 추가할 사항이 있으면 알려 주십시오.	I welcome any corrections or additions to these minutes.	
JLPT-한끝-N3-413	ヒント	ヒント	힌트	極めて知能の高い人々の習慣は、それをどのように行うかについてヒントを与える。	지극히 지능이 높은 사람들의 습관은 그것을 어떻게 행할지에 대해 힌트를 준다.	The habits of highly intelligent people offer a clue as to how to do that.	
JLPT-한끝-N3-444	ほえる	ほえる	짖다	あの犬、一日中ワンワンワンワン吠えてるんだから。	저 개는 하루 종일 멍멍 짖고 있다니까.	That dog has been barking 'Ruff-ruff-ruff-ruff!' all day long.	
JLPT-한끝-N3-475	目的	もくてき	목적	宇宙の利用は、日本の参加に関する限りでは、非軍事的目的に限定されるべきである。	우주의 이용은 일본의 참여에 관한 한 비군사적 목적에 국한되어야 한다.	The use of space must be limited to non-military purposes as far as Japan's involvement is concerned.	
JLPT-한끝-N3-506	若い	わかい	젊다	教育は若い時代に限られてはならず、われわれの全生涯を通じて継続して行われるものでなければならない。	교육은 젊은 시절에 국한돼서는 안 되며 우리의 전 생애를 통틀어 계속 이뤄져야 한다.	Education must not be limited to our youth but must be a continuing process through our entire lives.	
JLPT-한끝-N4-025	歩く	あるく	걷다	彼はあまりに疲れていたので、それ以上歩けませんでした。	그는 너무 피곤해서 더 이상 걸을 수 없었어요.	He was too tired to walk any further.	
JLPT-한끝-N4-056	色	いろ	색	青い色は喜びの源として神によって永久に定められている。	푸른 색은 기쁨의 원천으로 신에 의해 영구히 정해져 있다.	God appointed blue to be an everlasting source of delight.	
JLPT-한끝-N4-087	おいわい	おいわい	축하 선물	合格のおいわいとして、家族が食事会を開いてくれた。	합격 축하 선물로 가족이 식사 자리를 마련해 주었다.		
JLPT-한끝-N4-118	親指	おやゆび	엄지손가락	彼は親指と人差し指で蝶をつまみあげた。	그는 엄지와 검지로 나비를 집어 들었다.	He picked up a butterfly between his thumb and forefinger.	
JLPT-한끝-N4-149	かべ	かべ	벽	かべにかかっている絵をごらんなさい。	베개에 걸려있는 그림을 보세요.	Look at the picture on the wall.	
JLPT-한끝-N4-180	興味	きょうみ	흥미	彼らが行った調査によると、アメリカ人は日本に興味を持っていないことがわかる。	그들이 실시한 조사에 따르면 미국인들은 일본에 관심이 없다는 것을 알 수 있다.	The research done by them shows that Americans are not interested in Japan.	
JLPT-한끝-N4-211	公園	こうえん	공원	桜の花の季節になると、公園に多くの人々が集まる。	벚꽃 철이면 공원에 많은 사람들이 모여든다.	The cherry blossom season brings crowds of people to parks.	
JLPT-한끝-N4-242	寒い	さむい	춥다	人間も極度に寒い温度に対しては、防御装置を備えている。	인간도 극도로 추운 온도에 대해서는 방어 장치를 갖추고 있다.	Man, too, has been given protective devices against extreme temperatures.	
JLPT-한끝-N4-273	じゃまになる	じゃまになる	방해가 되다	通路に荷物を置くと避難のじゃまになるおそれがある。	통로에 짐을 두면 대피에 방해가 될 우려가 있다.		
JLPT-한끝-N4-304	捨てる	すてる	버리다	その事についての疑いを捨てなくてはならなかった。	그 일에 대한 의심을 버려야 했다.	I had to get rid of my doubt about it.	
