id	kanji	kana	meaning	japanese	korean	english	flags
JLPT-한끝-N2-0001	あいさつ	あいさつ	인사	隣に住んでるのに、彼は私たちにあいさつさえしない。	옆에 살지만 그는 우리에게 인사조차 하지 않는다.	Though living next door, he doesn't even say hello to us.	
JLPT-한끝-N2-0002	合図	あいず	(눈짓, 몸짓 등) 신호	彼は私を見るとすぐに、私に手を振って合図をした。	그는 나를 보자마자 나에게 손을 흔들어 신호를 보냈다.	The moment he saw me, he waved to me.	
JLPT-한끝-N2-0003	相次ぐ	あいつぐ	잇따르다, 연달다	相次ぐ不祥事にも関わらず、警察はオメオメ違反切符を切っている。	잇따른 불상사에도 불구하고 경찰은 아무렇지도 않은 듯 위반 딱지를 떼고 있다.	Despite their own scandals the police continue to make arrests as though nothing had happened at all.	
JLPT-한끝-N2-0004	アイデア	アイデア	아이디어, 구상	彼は大きなレストランを経営することによって、たくさんのアイデアを持っている。	그는 큰 레스토랑을 경영함으로써 많은 아이디어를 가지고 있다.	He has a lot of ideas about running foreign workers.	
JLPT-한끝-N2-0005	あいにく	あいにく	공교롭게도	昨日お訪ねくださったとき、あいにく留守をしていた。	어제 찾아주셨을 때 공교롭게도 집을 비웠다.	It happened that I was out when you called yesterday.	
JLPT-한끝-N2-0006	曖昧	あいまい	애매함	彼女はその問題について２、３あいまいなコメントをした。	그녀는 그 문제에 대해 2, 3 애매한 코멘트를 했다.	She made a few vague comments about the matter.	
JLPT-한끝-N2-0007	明かり	あかり	등불, 불빛	暗くなってきました。明かりをつけてくれませんか。	어두워졌어요 불 좀 켜주시겠어요?	It's getting dark. Please turn the light on for me.	
JLPT-한끝-N2-0008	明らか	あきらか	분명함	彼が無実であることは私たちにとって明らかだった。	그가 무고한 것은 우리에게 분명했다.	It was evident to all of us that he was innocent.	
JLPT-한끝-N2-0009	悪影響	あくえいきょう	악영향	世界の気候への悪影響について、私たちはもっと考えてよい頃である。	세계 기후에 미치는 악영향에 대해 우리는 더 생각할 때다.	It is high time we thought more about the damage to the world's climate.	
JLPT-한끝-N2-0010	悪条件	あくじょうけん	악조건	私はもうこんな悪条件には我慢出来ない。	나는 더 이상 이런 악조건은 참을 수 없어.	I can't put up with such bad condition any more.	
JLPT-한끝-N2-0011	悪天候	あくてんこう	악천후	悪天候にもかかわらず、彼らは車で行く決心をした。	악천후에도 불구하고 그들은 차로 갈 결심을 했다.	They made up their minds to go to by car in spite of bad weather.	
JLPT-한끝-N2-0012	あくび	あくび	하품	咳、くしゃみ、あくびをする時は口を手で隠しなさい。	기침, 재채기, 하품을 할 때는 입을 손으로 가리세요.	Cover your mouth when you cough, sneeze, or yawn.	
JLPT-한끝-N2-0013	憧れ	あこがれ	동경	先ずは憧れの作家の文章の呼吸をつかむためにひたすら筆写、丸写しをする。	우선 동경하는 작가의 문체와 호흡을 익히기 위해 글을 끊임없이 필사하고 그대로 베껴 쓴다.	First, in order to get a feel for your favourite author's work, transcribe and copy in full.	
JLPT-한끝-N2-0014	憧れる	あこがれる	동경하다	死を憧れる者は惨めであるが、死を恐れる者はさらに惨めである。	죽음을 동경하는 자는 비참하지만, 죽음을 두려워하는 자는 더 비참하다.	One who longs for death is miserable, but more miserable is he who fears it.	
JLPT-한끝-N2-0015	浅い	あさい	얕다, 깊지 않다	「まだ浅いね。足とどく」「結構遠浅だな。よつばもまだ足つくだろ」	‘아직 얕네. 발이 닿아.’ ‘제법 멀리까지 얕구나. 요츠바도 아직 발이 닿겠어.’	"""It's quite shallow, isn't it. My feet still reach."" ""It is quite a shallow beach. I expect Yotsuba could still stand as well."""	
JLPT-한끝-N2-0016	鮮やか	あざやか	선명하다, 또렷하다	私が特に気に入っているのは、この鮮やかな色彩の肖像画です。	내가 특히 마음에 드는 것은 이 선명한 색채의 초상화입니다.	I am pleased with this vivid portrait in particular.	
JLPT-한끝-N2-0017	足元	あしもと	발밑	ディスコダンスに関しては、私はスーザンの足元にも及ばない。	디스코 댄스에 관해서는 나는 수잔의 발밑에도 미치지 못한다.	When it comes to disco dance, I can't hold a candle to Susan.	
JLPT-한끝-N2-0018	預ける	あずける	맡기다	あなたが先に帰ってくるといけないので、お隣に鍵を預けておきます。	당신이 먼저 돌아오면 안되기 때문에 옆에 열쇠를 맡겨 두겠습니다.	I'll leave a key with my next-door neighbour in case you get here before I do.	
JLPT-한끝-N2-0019	与える	あたえる	주다	他の条件が等しいなら、温度がこの実験でもっとも影響を与える要素であるに違いない。	다른 조건이 같다면 온도가 이 실험에서 가장 영향을 미치는 요소임에 틀림없다.	If other conditions are equal, the temperature must be the most influential element in this experiment.	
JLPT-한끝-N2-0020	温かい	あたたかい	다정하다, 따뜻하다	皆様の温かい歓迎に感謝することで、（私の話しを）始めたいと思います。	여러분의 따뜻한 환영에 감사하는 마음으로 (제 이야기를) 시작하고자 합니다.	May I begin by thanking every one for your warm welcome?	
JLPT-한끝-N2-0021	頭に来る	あたまにくる	화나다	クララの責任感の無さには頭に来る。	클라라의 책임감이 없는 것에는 화가 난다.	Clara's lack of responsibility drives me mad.	
JLPT-한끝-N2-0022	辺り	あたり	주변, 주위	その火事でこのあたりの家がすべて全焼したわけではない。	그 화재로 이 근처 집이 모두 전소된 것은 아니다.	Not all the houses around here were burned down in the fire.	
JLPT-한끝-N2-0023	あちこち	あちこち	이곳저곳	ある話によると、お金はあちらこちら転がることができるように丸かった。	어떤 이야기에 따르면 돈은 이리저리 굴러갈 수 있게 동그랗게 생겼다.	According to one story, the money was round so that it could roll from place to place.	
JLPT-한끝-N2-0024	厚かましい	あつかましい	뻔뻔하다	あの人は、あつかましくもうちの庭を横切って行ったのです。	저 사람은, 정말로 우리 정원을 가로질러 간 것입니다.	He had the impudence to cut across our garden.	
JLPT-한끝-N2-0025	圧勝	あっしょう	압승	その党は総選挙で圧勝した。	그 당은 총선에서 압승했다.	The Party won a sweeping victory at the general election.	
